Utiliser;pays;nom;Capitale;description;bons plans;prix de l'hébergement;coût de la vie;janvier;février;mars;avril;mai;juin;juillet;août;septembre;octobre;novembre;décembre;latitude;longitude;;;;;
non;Afrique du Sud;Johannesburg;;;"> Comprendre les racines de la situation actuelle du pays en visitant le musée de l'apartheid.
> Le soir, aller écouter un groupe de jazz dans un bar de Newtown
> Eviter Hillbrow, quartier en amélioration mais qui reste assez mal fréquenté, surtout pour les touristes.
> Visiter Soweto (accompagné d'un guide),  ville originellement destinée aux travailleurs noirs,et maintenant devenue la deuxième plus grande ville d'Afrique du Sud.
> Se prendre pour un chercheur d'or à Kromdraai (20 min de Johannesburg).
> Découvrir la faune dans une ""mini"" réserve de 2km², le ""lion park"" (à 1h de Johannesburg)";11;25;2;3;3;2;1;1;1;1;1;3;3;2;-26.1593862;28.0258656;;;;;
non;Afrique du Sud;Le Cap;;;"> Bruncher dans l'ambiance conviviale de Goodneighbour Market, installée dans une ancienne biscuiterie (le samedi matin)
> Sortir la nuit sur Long Street, qui regroupe de nombreux bars, boites et restos
> S'émerveiller devant les plages du bouts du monde à la péninsule du Cap,y rencontrer des manchots.
> De Novembre à Mars, écouter un concert gratuit le dimanche au coeur du jardin botanique Kirstenbosch.
> Louer en vélo pour monter la montagne Table, s'y attarder pour la vue exceptionnelle sur la ville
> Déguster les fameux vins Sud Africains lors d'un road trip autour de Stellenbosch.";11;26;3;3;3;3;1;1;1;1;1;3;3;3;-33.9753806;18.4553078;;;;;
oui;Algérie;Alger;oui;"L’histoire d’Alger débute il y a 3 millénaires, c’était alors un important comptoir phénicien. Sous influence Romaine à partir de -200, puis berbère, c’est en 710 qu’est introduit l'Islam dans la ville. Colonisée en 1830 par la France, c’est suite à la Guerre d'Algérie en 1962, que Alger devient la capitale de l’Algérie désormais indépendante.
Surnommée Alger la joyeuse ou encore Alger la blanche en raison des bâtiments d'architecture coloniale et locale d'un blanc étincelant, la ville compte de nombreuses mosquées somptueuses, comme la Grande Mosquée (11ème siècle) ou la mosquée Sidi Abd al-Rahman (18ème).
De nos jours, Alger est une ville jeune et dynamique. La vie y est trépidante et l’activité économique, scientifique, sociale et culturelle y est très riche.";"> Visiter les grottes de Cervantès.

> Découvrir le Jardin d'Essai du Hamma.
 
 > Faire une balade au port de Sidi Fredj.
 
 > Se cultiver au musée national du Bardo.
 
 > Se rendre au parc aquatique Aquafortland pour se rafraîchir l'été.";14;10;2;2;2;2;3;3;3;3;3;3;2;2;36.748550;3.076529;;;;;
non;Allemagne;Berlin;oui;;"> Profiter des marchés de noël en Décembre
 
 > Découvrir vestige le plus important du mur de Berlin, la East Side Gallery.
 
 > Visiter Berlin sur la Spree en bateau.
 
 > Se rendre au Café de Moscou, un des endroits les plus animés de la ville.";14;40;0;0;1;2;3;3;3;3;3;2;1;0;52.516304;13.3766257;;;;;
oui;Argentine;Buenos Aires;oui;"Fondée en 1580 par des colons Espagnols, la ville a prospéré grâce au commerce du cuir. A la fin du 18ème siècle, la ville connue une forte croissance grâce à une importante immigration de Français, d'Italiens et d'Espagnols. Au cours du 20ème siècle, les militaires ont à plusieurs reprises pris le pouvoir, avant de laisser définitivement place à la démocratie en 1983.
Aujourd’hui Buenos Aires est toujours majoritairement peuplée de descendants de colons européens. Le quartier de La Boca (voir photo) rappelle les rues de Naples, les hôtels particuliers de la Recoleta ont un style très Parisien et les larges avenues du centre-ville évoquent celles de Madrid.
Commencez par parcourir l’histoire de la ville sur la Plaza de Mayo, puis initiez-vous au tango dans une ""milongas"" du quartier de San Telmo, et enfin assistez à une rencontre de football au stade de La Bombonera, et vous découvrirez le charme de Buenos Aires !";"> Flâner dans la Boca (rue commerçante très animée).
> Partir à la découverte des 40 plaques commémoratives aux grands danseurs de tango sur « Avenue Corrientes ».
> Admirer le Tango dansé par les Argentins.
> Regarder un match de football. 
> Goûter à un morceau de boeuf argentin.";14;25;3;3;3;3;1;1;1;1;1;2;3;3;-34.6084373;-58.373264;;;;;
oui;Argentine;Ushuaia;;"Découvert par Magellan en 1520, les navigateurs espagnols baptisèrent la région ""Terre de Feu""  car ils observèrent du feu et de la fumée sur les côtes. Ushuaïa fut fondée le 12 octobre 1884. La ville abrita d’abord une prison et les prisonniers devinrent les premiers colons.
Souvent citée comme la plus australe du globe, la petite ville d’Ushuaïa, est très loin des paysages exotiques des pubs pour le savon du même nom...  Située en Antarctique, c'est un lieu incontournable pour les routards en quête d'aventures au bout du monde. On y vient pour observer les manchots, baleines, ainsi que pour ses vastes paysages. Bien qu'en Argentine, elle diffère grandement du reste du pays. Attention, la température est froide en été comme en hiver !";"> Partir en randonnée sur les chemins du parc national Tierra del Fuego.
> Se rendre à l'office du tourisme pour faire tamponner gratuitement son passeport avec un tampon original.
> Faire une croisière sur le canal de Beagle.
> Regarder les magnifiques coucher de soleil.";21;23;1;1;1;1;0;0;0;0;0;1;1;1;-54.8060457;-68.3002905;;;;;
non;Australie;Melbourne;;;"> le mercredi soir, aller au Victoria market écouter un concert live tout en dégustant des spécialités locales.
> Boire un cocktail inventif dans un bar situé sur les toits (Brunswick Street).
> Observer les kangorous, wallaby, koala et pingouins sur la Philip Island (en dehors de Melbourne).
> Découvrir les meilleurs crus d'Australie en suivant la route des vins de la Yarra Valley";19;41;3;3;3;3;2;2;2;2;2;2;3;3;-37.821068;144.9573438;;;;;
non;Australie;Perth;;;"> Vous promener à Kings' Park et pourquoi pas y organiser un barbecue (à disposition gratuitement).
> Pécher de nuit dans la Swan River pour un moment apaisant.
> La nuit, aller boire un verre dans le quartier animé de Northbridge.
> S'émerveiller devant les plages magnifiques de Cottesloe ou Scarborough (idéal pour s'initier au surf).
> Le weekend, déambuler dans le marché de Freemantle et en profiter pour y manger un fish and chips
> à 160km au nord, s'étonner des Pinnacles dresser en plein désert. L'occasion aussi de s'essayer au sandsurf sur les dunes de sable";19;38;3;3;2;2;2;1;1;1;3;3;3;3;-31.960906;115.8300042;;;;;
oui;Australie;Sydney;;"Habitée depuis déjà plusieurs millénaires par les aborigènes, c'est ici qu'en  1788 s'établit la première colonie britannique. A l'origine fondée en tant que colonie pénitentiaire, la ville prendra de l'ampleur après la découverte de gisement d'or dans l'état voisin. Base navale et aérienne des alliés durant la seconde guerre mondiale, elle devint par la suite le centre économique et financier d'Australie.
Aujourd'hui Sydney est la ville la plus cosmopolite et la plus peuplée d'Océanie. Construite autour d'une des plus belles baies du monde, elle est riche en beautés naturelles, en musée et en activité en tout genre.
Partez à la rencontre du fameux ""layback"", art de vivre privilégié des Australiens, et découvrez pourquoi Sydney est devenue l'emblème de l'Australie.";"> Grimper en haut du plus haut pont de Sydney.
> Cotoyer les baleines en pleine mer.
> Musarder sur le marché paysans et goûter de bons produits locaux (eveleigh market, chaque samedi).
> Affronter son vertige en marchant dans le vide du haut de la tour de Sydney.
> Visiter l'emblématique opéra de Sydney tôt le matin (visite guidée toutes les 1/2h).";19;40;3;3;2;2;2;1;1;1;3;3;3;3;-33.8568935;151.2151438;;;;;
oui;Autriche;Vienne;oui;"Fondé par les Celtes, au VIème siècle avant JC, Vienne fut occupée par les Romains. Au cours du moyen âge la ville devient la capitale du Saint-Empire romain germanique. Assiégé par les Ottomans, occupée par Napoléon puis annexée par l’Allemagne Nazie, la capitale Autrichienne retrouve son indépendance en 1955.
Cette ancienne capitale impériale abrite de nombreux palais : Hofburg, palais impérial et résidence de la dynastie des Habsbourg pendant plus de six siècles, Schönbrunn, le ""Versailles autrichien"" qui abrite un zoo et un parc magnifique (photo ci-dessus), ou encore le Belvédère qui est l’un des plus grands palais baroques de Vienne.
Réputée pour sa qualité de vie, Vienne est l’une des capitales culturelles de l’Europe. La ville est devenue une cité cosmopolite où tradition et innovation se côtoient : baroque et art nouveau, Valse et Techno ou encore café Viennois et vin. En  2015 Vienne a été reconnue comme la ville la plus agréable à vivre  au monde !";"> Marcher dans la ville et apprécier son architecture flamboyante.
 
 > Prendre un cours de valse dans l'une des écoles de danse de la ville.
 
 > L'été, profiter des concerts / ballet gratuits en plein air sur la place de l'hôtel de ville.
 
 > L'hiver, assister à l'un des nombreux bals
 
 > Se rendre sur les tombes de Beethoven, Schubert, Brahms, Strauss, Schönberg, Stolz au cimetière de Zentralfriedhof.
 
 > Déguster un café Viennois et une torte dans le café Sacher.";17;49;0;0;0;1;2;3;3;3;3;1;1;0;48.2080183;16.3662545;;;;;
non;Belgique;Bruxelles;oui;;"> Manger une gaufre liégoise, bien chaude, moelleuse et sucrée, chez Dandoy
> Admirer la grande place, de jour comme de nuit.
> Faire un tour dans les marolles le dimanche matin pour voir son célèbre marché aux puces
> Aller voir le Manneken Pis, symbole de la ville.
> Flâner dans les élégantes galeries Saint-Hubert.
> Marcher sous la structure de l’Iceberg qui émet des sons et lumières quand on passe chacun de ces arceaux";23;46;0;1;1;1;1;3;3;3;3;1;1;1;50.8439026;4.3469415;;;;;
non;Belize;Belmopan;oui;;;15;35;2;3;3;3;1;1;1;0;0;0;1;1;17.4719143;-88.2499659;;;;;
non;Birmanie;Mandalay;;;"> Découvrir autour de la pagode Mahamuni les différents artisanats (sculture de bouddha, fabrication de feuille d'or ...).
> Admirer le pont U Bein, plus long pont en teck du monde (1,2 km), où vont et viennent les moines.
> Visiter la stupa inachevée ""paya de Mingun"" où l'on se rend en bateau depuis Mandalay.
> Passer par Monywa, peu connu, où entouré de singes, vous admirerez les grottes de Hpo Win Daung.
> S'arréter à Kyaukmyaung, village de potier au bord du fleuve.";13;19;3;3;3;1;0;1;2;3;3;2;3;3;21.9928622;96.0854468;;;;;
non;Birmanie;Rangoon;oui;;;13;10;3;3;3;1;1;0;0;0;0;0;2;3;16.798438;96.148913;;;;;
non;Bolivie;La Paz;;;"> Se rendre à la place Murillo où est érigé le palais législatif, et à la place San Francisco abritant la cathédrale.
 
 > Apprécier l'architecture des belles maisons coloniales de la calle Jaen.
 
 > Parcourir les marchés artisanaux de la calle Sagarnaga ou le marché de la sorcellerie.
 
 > Profiter de l'animation de l'Avenida del sol.";8;15;1;1;1;1;1;1;1;1;1;1;1;1;-16.4955017;-68.134689;;;;;
non;Brésil;Rio de Janeiro;;;"> Boire une caipirhina dans un café donnant sur la célèbre plage de Copacabana.
> Monter jusqu'au Corcovado ou au pain de sucre pour avoir une vue magnifique sur l'ensemble de la ville.
> Se perdre dans le parc national de Tijuca pour un instant nature ainsi que pour découvrir la faune et flore locale.
> Goûter à la vie locale en mangeant un Feijoada dans le quartier haut en couleurs de Santa Teresa.";9;26;2;2;2;3;3;3;3;3;3;3;3;2;-22.922188;-43.168282;;;;;
non;Bulgarie;Sofia;oui;;"> S'offrir une vodka dans l'un des petits bars de la ville
> Déguster un assortiment de viandes et légumes grillés dans une mehana (restaurant traditionnel).
> Aller voir l'église de Boyana, datant du 13ème siècle et classée au patrimoine mondial par l'UNESCO.
> Visiter la cathédrale Alexandre Nevski, une des plus grandes d'Europe, et son marché de souvenirs communistes.";8;30;0;0;1;1;2;3;3;3;3;1;1;0;42.6958001;23.3326573;;;;;
oui;Cambodge;Phnom Penh;oui;"Fondée en 1434, Phnom Penh resta un village jusqu'à l'arrivée des colons français. C'est donc au 19ème siècle que ""la perle d'Asie"" s'étendit et acquit son palais royal et ses bâtiments coloniaux. Après cette faste période vinrent les atrocités lorsqu'en 1975, la ville tomba aux mains des Khmers rouges. Elle n'est libérée par les vietnamiens que 4 ans plus tard. Cependant 80% de la population avait déjà péri à cause des privations et de la torture. Le musée Tuol Sieng permet de se rendre compte de l'horreur de cette période.
Aujourd'hui la capitale du Cambodge renaît et est en plein essor. Elle mêle passé et présent, pauvreté absolue et richesse extrême. La mutation en cours en fait une des plus plaisantes capitales d'Asie en devenir.
Entre le charme de ses pagodes, ses marchés grouillant de vie, le musée national rassemblant les plus belles oeuvres Khmers au monde, 2 à 3 jours ne sont pas de trop pour découvrir les attraits de Phnom Penh.";"> Se méler à l'ambiance survoltée de la foule assistant à un combat de boxe Khmer (gratuit les samedis et dimanches devant le studio CTN).
> Donner de son temps pour une association caritative (CHOICE). Départ d'une journée tous les matins.
> S'émerveiler devant la beauté du palais royal.
> Le weekend,  se balader sur le marché de nuit Phsar Reatrey, le long du quai Sisowath.
> Se remettre en forme avec une scéance de sport collective au stade Olympique.
> Accorder un moment de réflexion face aux atrocités vécus sous le règne Khmer avec la visite du musée du génocide.";6;17;3;3;3;2;2;2;1;1;1;2;2;3;11.5644048;104.92994;;;;;
non;Cambodge;Siem Reap;;;"> Voir le levé du jour donné une aura mystique aux temples d'Angkor.
> Faire une balade en remorque pour découvrir les charmes de la campagne alentours (rizières, villages sur piloti...).
> Participer à une bonne cause en prenant un cours de poterie au Centre de la Céramique Khmer. La visite simple est gratuite.
> Sortir du centre ville pour goûter la délicieuse cuisine Khmer.
ATTENTION:  ne pas quitter les chemins balisés dans la campagne, il reste encore de nombreuses mines.";5;21;3;3;2;1;2;1;1;1;1;2;3;3;13.4124876;103.8662776;;;;;
non;Canada;Montreal;;;"> Flâner dans le superbe Jardin botanique de Montréal, qui ouvre ses portes gratuitement chaque soir à partir de 18 heures.
> En été, profiter du concours international de feux d'artifice pour en prendre plein les yeux.
> Début juillet, assister à l'un des très nombreux concerts gratuits lors du Festival de Jazz.
> Prendre un bon bol d'air pur en allant promener au Parc du Mont Royal  et avoir une vue magnifique sur la ville.
> S'immerger dans une ambiance ""vieux continent"" en flânant dans la vieille ville de Montreal et ses rues pavés.
> Fureter dans le marché ""Jean Talon"", temple des produits frais et artisanaux (goûter le cidre des glaces... un délice).";15;35;0;0;0;0;1;3;3;3;1;1;0;0;45.5047434;-73.5572577;;;;;
oui;Canada;Québec;;"Fondée par les français en 1608 pour devenir la capitale coloniale de la ""Nouvelle-France"", Québec tombe aux mains dans troupes britanniques en 1759. Elle a été la capitale (partagée avec Toronto) du Canada-Uni de 1859 à 1865, ce qui lui vaut le surnom de ""Vieille Capitale "".
De son passé coloniale elle a gardé, outre la langue française, son imposant Château Frontenac, ses charmantes petites rues pavées, sa citadelle en étoile et le marché du vieux port. Ces spécificités lui ont permis d’être inscrite au patrimoine mondial de l’UNESCO. Mais il suffit de sortir des remparts pour voir la ville moderne, avec ses jardins publics potagers devant le parlement, ses murs couverts d’art de rue, ses musées … 
Bien que le Canada soit connu comme une destination hivernale, la ville foisonne d’activités toute l’année, en été, les festivals s’enchainent dans les rues et l’hiver les activités en plein air sont légion.";"> Déambuler dans le quartier historique du petit Champlain, avec ses rues pavés. N'hésitez pas a entrer dans le magasin de gravure sur bois pour voir travailler le sculpteur.
> Visiter l'église Notre Dâme de Québec, la plus vieille paroisse d'Amérique du Nord.
> Participer à une visite guidée de nuit sur l'histoire de la criminalité. Passionant et vraiment enrichissant quand à l'histoire de la ville.
> Pédaler le long de la promenade Samuel de Champlain, le long du Saint Laurent et profiter de la douceur de vivre (surtout le printemps et l'été).
> Découvrir la culture amérindienne au coeur de la réserve Huron Wandate.
> S'impregner de l'histoire de la ville en visitant l'étonnante citadelle de Québec, en forme d'étoile. Apprendre pourquoi un bélier figure l'emblème du 22ème régiment.
> S'immerger dans la culture canadienne en allant voir un match de hockey à la patinoire du colisée Pepsi.";17;36;0;0;0;0;1;3;3;3;1;1;0;0;46.812048;-71.204406;;;;;
non;Canada;Toronto;;;"> N'hésitez pas à acheter le City Pass, avantageux dans cette ville et qui en plus sert de billet coupe-file.
> Monter au sommet de la CN tower en empruntant son ascenseur transparent pour avoir une vue 360° de la ville (inclus dans le CityPass).
> Déambuler dans le Distillery District. Les amateurs de bière pourront y découvrir des bières locals, et les autres profiter de son architecture très mignonne.
> Visiter le Hockey Hall of Fame, typique de la ville.
> Pour les fans du Moyen Age, assister au spectacle ""Medievale Times"". Bon dans le temps assuré";22;30;0;0;0;1;1;3;3;3;3;1;0;0;43.6425696;-79.3873293;;;;;
non;Canada;Vancouver;;;;18;35;0;1;1;1;1;3;3;3;1;1;0;0;49.2694395;-123.2589868;;;;;
non;Chili;Ile de Pâques;;;"> Observer les petroglyphes marin de Papa Vaka
> Visiter l'ancien centre cérémoniel Pascuan d'Orongo, sur les flanc du volcan Rano Kau.
> S'interroger devant les Moaï (statues de l'île de Pâques) du ahu Tongariki.
> Bronzer sur le sable blanc bordé de palmier de la plage de Anakena.";25;;2;2;2;1;1;3;3;3;3;3;3;2;-27.0911234;-109.3779564;;;;;
non;Chili;Santiago;oui;;"ASTUCES
 > Le taux de change sera plus avantageux ?antiago que dans le reste du pays. 
 > Sky airlines propose des tarifs en avion ?eine plus cher que le bus.";14;19;3;3;1;1;1;1;1;1;1;1;1;3;-33.4378394;-70.6507532;;;;;
non;Chine;Hong Kong;;;"> De nuit, musarder sur le marché de Temple street où se côtoient vendeurs de souvenirs, cartomancienne, street food, chanteurs d'opéras cantonnais ...
> Monter au sommer du Pic Victoria pour une vue insaisissable sur la baie de Hong Kong.
> Se prendre pour une star en comparant ses traces de mains à celles des stars Hong Kongaise le long de l'avenue des stars.
> Se perdre dans les ruelles du vieux Hong Kong.
> Déguster un Dim Sum
> Flâner sur le front de mer de Tsim sha Tsui en regardant la silhouette de la ville se découper de l'autre côté de la baie.";15;29;3;3;3;2;0;0;0;0;0;2;3;3;22.286178;114.1566148;;;;;
non;Chine;Pekin;oui;;"> Musarder dans le marché nocturne de Temple Street où se cotoit vendeurs de souvenirs, chanteurs d'opéra, voyante, street food ....
> Monter au sommer du Pic Victoria pour une vue insaisissable sur les grattes-ciel et le port.
> 3 périodes par an, vivre des moments magiques avec un spectacle son et lumière en 3D  projetés sur le Centre culturel de Hong Kong (Pulse 3D light show)";8;21;0;0;0;1;3;3;0;2;3;1;0;0;39.916427;116.3965726;;;;;
non;Chine;Shangai;;;"> Boire un verre au Vue Bar pour une vue imprenable sur Shanghai
> Balader dans les jardins Yuyuan et se retrouver dans l'atmosphère de la dynastie Ming
> Découvrir un hobby millénaire et s'étonner devant l'enthousiasme des chinois pour une lutte opposants... 2 criquets (ou autres insectes). Tous  les matins rue Liuhekou.
> Se promener sur le Bund, célèbre promenade de Shanghai";10;27;1;1;1;2;3;2;2;2;2;3;1;1;31.2396935;121.4996185;;;;;
non;Colombie;Bogota;oui;;"> Déambuler dans le quartier de la Candelaria, centre historique de la ville
> Se méler aux spectateurs lors d'un match de foot et profiter de l'ambiance électrique.
> Consacrer un moment à la visite du Musée de l'Or et admirer la plus importante collection d'orfèvrerie pré-colombienne
> Faire une excursion à 1h au nord de la ville pour ressentir l'atmosphèremystique de la cathédrale de sel, creuser à 180m de profondeur.";10;11;3;3;2;1;2;2;2;2;3;2;2;2;4.6682475;-74.1011817;;;;;
